engine,algo,tier,mode,metric,threads,batch,count,ms,rate_per_s
UA,philox4x32-10,avx2,batch,double,2,1024,8000000,36.585700,218664669.319595
UA,philox4x32-10,avx2,batch,normal,2,1024,8000000,227.930600,35098402.752182
UA,philox4x32-10,avx2,batch,u64,2,4096,8000000,29.342500,272642072.345586
UA,philox4x32-10,avx2,batch,double,2,4096,8000000,36.536400,218959722.595685
UA,philox4x32-10,avx2,batch,normal,2,4096,8000000,227.845500,35111511.968715
UA,philox4x32-10,avx2,batch,u64,2,16384,8000000,30.235600,264588762.961974
UA,philox4x32-10,avx2,batch,double,2,16384,8000000,36.925900,216650102.063909
UA,philox4x32-10,avx2,batch,normal,2,16384,8000000,227.539700,35158699.773711
UA,philox4x32-10,avx2,batch,u64,2,65536,8000000,31.267900,255853447.226632
UA,philox4x32-10,avx2,batch,double,2,65536,8000000,37.106600,215595069.072580
UA,philox4x32-10,avx2,batch,normal,2,65536,8000000,230.433600,34717159.301878
UA,philox4x32-10,avx2,batch,u64,4,256,16000000,29.017700,551387601.047047
UA,philox4x32-10,avx2,batch,double,4,256,16000000,37.205000,430049724.692306
UA,philox4x32-10,avx2,batch,normal,4,256,16000000,234.274600,68295922.810326
UA,philox4x32-10,avx2,batch,u64,4,1024,16000000,29.597400,540588024.447857
UA,philox4x32-10,avx2,batch,double,4,1024,16000000,36.813900,434618445.822168
UA,philox4x32-10,avx2,batch,normal,4,1024,16000000,237.631800,67331055.861531
UA,philox4x32-10,avx2,batch,u64,4,4096,16000000,33.680600,475050918.855948
UA,philox4x32-10,avx2,batch,double,4,4096,16000000,39.821800,401789974.401097
UA,philox4x32-10,avx2,batch,normal,4,4096,16000000,236.862100,67549852.845399
UA,philox4x32-10,avx2,batch,u64,4,16384,16000000,31.114800,514224741.329265
UA,philox4x32-10,avx2,batch,double,4,16384,16000000,37.652600,424937453.954436
UA,philox4x32-10,avx2,batch,normal,4,16384,16000000,236.233500,67729598.044907
UA,philox4x32-10,avx2,batch,u64,4,65536,16000000,32.447600,493102725.518069
UA,philox4x32-10,avx2,batch,double,4,65536,16000000,38.228100,418540288.406738
UA,philox4x32-10,avx2,batch,normal,4,65536,16000000,239.854900,66706996.604341
UA,philox4x32-10,avx2,batch,u64,8,256,32000000,31.344900,1020899733.244736
UA,philox4x32-10,avx2,batch,double,8,256,32000000,40.911800,782170425.783896
UA,philox4x32-10,avx2,batch,normal,8,256,32000000,256.057200,124972076.544524
UA,philox4x32-10,avx2,batch,u64,8,1024,32000000,34.527200,926805533.469339
UA,philox4x32-10,avx2,batch,double,8,1024,32000000,43.880900,729246665.974653
UA,philox4x32-10,avx2,batch,normal,8,1024,32000000,258.261400,123905469.427247
UA,philox4x32-10,avx2,batch,u64,8,4096,32000000,33.329400,960113293.283453
UA,philox4x32-10,avx2,batch,double,8,4096,32000000,44.263100,722949815.528734
UA,philox4x32-10,avx2,batch,normal,8,4096,32000000,256.063000,124969245.867341
UA,philox4x32-10,avx2,batch,u64,8,16384,32000000,34.715700,921773146.645105
UA,philox4x32-10,avx2,batch,double,8,16384,32000000,47.440200,674533412.153024
UA,philox4x32-10,avx2,batch,normal,8,16384,32000000,267.850700,119469540.298070
UA,philox4x32-10,avx2,batch,u64,8,65536,32000000,37.477100,853854753.635148
UA,philox4x32-10,avx2,batch,double,8,65536,32000000,46.007700,695535747.784581
UA,philox4x32-10,avx2,batch,normal,8,65536,32000000,261.640700,122305130.642262
